instance n500m10E n=500 m=10 start cost 65653 (greedy) mode=ils
[n500m10E] t=5.0 iter=4672 acc=2993 impr=67 cur=18681 best=18648 T=58.80 evals=163530362
[n500m10E] t=10.0 iter=9906 acc=6222 impr=79 cur=18582 best=18459 T=51.89 evals=345124382
[n500m10E] t=15.0 iter=15116 acc=9495 impr=79 cur=18753 best=18459 T=45.80 evals=524812487
[n500m10E] t=20.0 iter=20142 acc=12629 impr=79 cur=18827 best=18459 T=40.43 evals=697918430
[n500m10E] t=25.0 iter=25086 acc=15723 impr=80 cur=18680 best=18448 T=35.68 evals=868776521
[n500m10E] t=30.0 iter=29776 acc=18631 impr=81 cur=18469 best=18444 T=31.49 evals=1029872858
[n500m10E] t=35.0 iter=34327 acc=21413 impr=81 cur=18784 best=18444 T=27.79 evals=1186742524
[n500m10E] t=40.0 iter=39311 acc=24412 impr=83 cur=18560 best=18441 T=24.53 evals=1361502004
[n500m10E] t=45.0 iter=42620 acc=26400 impr=83 cur=18483 best=18441 T=21.65 evals=1475589140
[n500m10E] t=50.0 iter=45602 acc=28268 impr=83 cur=18477 best=18441 T=19.11 evals=1576388748
[n500m10E] t=55.0 iter=48506 acc=30047 impr=84 cur=18512 best=18435 T=16.87 evals=1676943113
[n500m10E] t=60.0 iter=51364 acc=31778 impr=84 cur=18450 best=18435 T=14.89 evals=1776034376
[n500m10E] t=65.0 iter=54645 acc=33803 impr=84 cur=18435 best=18435 T=13.14 evals=1888346544
[n500m10E] t=70.0 iter=58574 acc=36169 impr=84 cur=18498 best=18435 T=11.60 evals=2024920718
[n500m10E] t=75.0 iter=63567 acc=39180 impr=84 cur=18435 best=18435 T=10.24 evals=2197874019
[n500m10E] t=80.0 iter=68553 acc=42248 impr=84 cur=18459 best=18435 T=9.04 evals=2367900600
[n500m10E] t=85.0 iter=73298 acc=45137 impr=84 cur=18448 best=18435 T=7.97 evals=2531331659
[n500m10E] t=90.0 iter=75855 acc=46636 impr=84 cur=18452 best=18435 T=7.04 evals=2619594136
[n500m10E] t=95.0 iter=78366 acc=48189 impr=84 cur=18444 best=18435 T=6.21 evals=2705273574
[n500m10E] t=100.0 iter=81363 acc=50024 impr=84 cur=18435 best=18435 T=5.48 evals=2807976102
[n500m10E] t=105.0 iter=84170 acc=51753 impr=84 cur=18435 best=18435 T=4.84 evals=2903729180
[n500m10E] t=110.0 iter=88076 acc=54155 impr=84 cur=18444 best=18435 T=4.27 evals=3037060975
[n500m10E] t=115.0 iter=92291 acc=56649 impr=84 cur=18435 best=18435 T=3.77 evals=3182263962
[n500m10E] ILS done iter=96278 best=18435 (802.4 it/s)
FINAL n500m10E cost 18435 time 120.0
