instance n500m10E n=500 m=10 start cost 65653 (greedy) mode=ils
[n500m10E] t=5.0 iter=4902 acc=3156 impr=59 cur=19183 best=18574 T=53.54 evals=171543812
[n500m10E] t=10.0 iter=9727 acc=6179 impr=65 cur=18568 best=18448 T=47.26 evals=337664683
[n500m10E] t=15.0 iter=14909 acc=9422 impr=65 cur=18844 best=18448 T=41.71 evals=517270108
[n500m10E] t=20.0 iter=19551 acc=12280 impr=66 cur=18539 best=18435 T=36.81 evals=677745097
[n500m10E] t=25.0 iter=22748 acc=14247 impr=66 cur=18712 best=18435 T=32.49 evals=788053630
[n500m10E] t=30.0 iter=27848 acc=17402 impr=66 cur=18623 best=18435 T=28.68 evals=963039059
[n500m10E] t=35.0 iter=32896 acc=20470 impr=66 cur=18537 best=18435 T=25.31 evals=1137462829
[n500m10E] t=40.0 iter=37839 acc=23581 impr=66 cur=18739 best=18435 T=22.34 evals=1304805778
[n500m10E] t=45.0 iter=40779 acc=25381 impr=66 cur=18466 best=18435 T=19.72 evals=1405658262
[n500m10E] t=50.0 iter=43541 acc=27065 impr=66 cur=18450 best=18435 T=17.40 evals=1501678961
[n500m10E] t=55.0 iter=46304 acc=28740 impr=66 cur=18507 best=18435 T=15.36 evals=1598272594
[n500m10E] t=60.0 iter=49145 acc=30463 impr=66 cur=18455 best=18435 T=13.56 evals=1697152341
[n500m10E] t=65.0 iter=52401 acc=32442 impr=66 cur=18475 best=18435 T=11.96 evals=1809021568
[n500m10E] t=70.0 iter=55975 acc=34621 impr=66 cur=18477 best=18435 T=10.56 evals=1932657063
[n500m10E] t=75.0 iter=60658 acc=37466 impr=66 cur=18470 best=18435 T=9.32 evals=2093631224
[n500m10E] t=80.0 iter=64959 acc=40028 impr=66 cur=18466 best=18435 T=8.23 evals=2242841732
[n500m10E] t=85.0 iter=69798 acc=42958 impr=66 cur=18453 best=18435 T=7.26 evals=2407522180
[n500m10E] t=90.0 iter=74462 acc=45777 impr=66 cur=18483 best=18435 T=6.41 evals=2570452750
[n500m10E] t=95.0 iter=79109 acc=48520 impr=66 cur=18453 best=18435 T=5.66 evals=2733963788
[n500m10E] t=100.0 iter=83921 acc=51415 impr=66 cur=18450 best=18435 T=4.99 evals=2900527428
[n500m10E] t=105.0 iter=88811 acc=54346 impr=66 cur=18453 best=18435 T=4.41 evals=3070014441
[n500m10E] t=110.0 iter=93746 acc=57282 impr=66 cur=18459 best=18435 T=3.89 evals=3241310892
[n500m10E] t=115.0 iter=98702 acc=60280 impr=66 cur=18450 best=18435 T=3.43 evals=3412491886
[n500m10E] ILS done iter=103439 best=18435 (862.2 it/s)
FINAL n500m10E cost 18435 time 120.0
