instance n700m12E n=700 m=12 start cost 50658 (greedy) mode=ils
[n700m12E] t=5.0 iter=2687 acc=1759 impr=50 cur=13862 best=13862 T=48.92 evals=97309721
[n700m12E] t=10.0 iter=5332 acc=3490 impr=56 cur=13814 best=13751 T=44.27 evals=191678354
[n700m12E] t=15.0 iter=8058 acc=5288 impr=60 cur=13917 best=13644 T=40.06 evals=287482022
[n700m12E] t=20.0 iter=10802 acc=7082 impr=61 cur=13898 best=13641 T=36.25 evals=385360406
[n700m12E] t=25.0 iter=13917 acc=9068 impr=66 cur=13688 best=13540 T=32.80 evals=497412239
[n700m12E] t=30.0 iter=18545 acc=12059 impr=66 cur=13557 best=13540 T=29.69 evals=663154013
[n700m12E] t=35.0 iter=22546 acc=14553 impr=67 cur=13577 best=13525 T=26.86 evals=807222095
[n700m12E] t=40.0 iter=26845 acc=17272 impr=70 cur=13596 best=13510 T=24.31 evals=960649357
[n700m12E] t=45.0 iter=30538 acc=19581 impr=70 cur=13717 best=13510 T=22.00 evals=1092196686
[n700m12E] t=50.0 iter=34491 acc=22041 impr=70 cur=13664 best=13510 T=19.91 evals=1234962402
[n700m12E] t=55.0 iter=38960 acc=24835 impr=73 cur=13501 best=13501 T=18.01 evals=1395131100
[n700m12E] t=60.0 iter=42664 acc=27153 impr=73 cur=13618 best=13501 T=16.30 evals=1527633753
[n700m12E] t=65.0 iter=46736 acc=29719 impr=74 cur=13589 best=13483 T=14.75 evals=1671765703
[n700m12E] t=70.0 iter=51419 acc=32566 impr=74 cur=13564 best=13483 T=13.35 evals=1841332731
[n700m12E] t=75.0 iter=56412 acc=35654 impr=74 cur=13545 best=13483 T=12.08 evals=2019653401
[n700m12E] t=80.0 iter=61416 acc=38723 impr=74 cur=13517 best=13483 T=10.93 evals=2197067017
[n700m12E] t=85.0 iter=66259 acc=41683 impr=76 cur=13455 best=13455 T=9.89 evals=2369660993
[n700m12E] t=90.1 iter=71068 acc=44601 impr=78 cur=13427 best=13419 T=8.95 evals=2541229704
[n700m12E] t=95.1 iter=75960 acc=47611 impr=78 cur=13419 best=13419 T=8.10 evals=2714211030
[n700m12E] t=100.1 iter=80543 acc=50373 impr=78 cur=13437 best=13419 T=7.33 evals=2879358173
[n700m12E] t=105.1 iter=84299 acc=52677 impr=78 cur=13419 best=13419 T=6.63 evals=3011519814
[n700m12E] t=110.1 iter=88576 acc=55232 impr=78 cur=13437 best=13419 T=6.00 evals=3164735503
[n700m12E] t=115.1 iter=93388 acc=58140 impr=78 cur=13437 best=13419 T=5.43 evals=3337980089
[n700m12E] t=120.1 iter=98314 acc=61057 impr=78 cur=13419 best=13419 T=4.92 evals=3514224833
[n700m12E] t=125.1 iter=103420 acc=64081 impr=78 cur=13428 best=13419 T=4.45 evals=3695458372
[n700m12E] t=130.1 iter=107551 acc=66589 impr=78 cur=13419 best=13419 T=4.03 evals=3842839634
[n700m12E] t=135.1 iter=111582 acc=69027 impr=78 cur=13419 best=13419 T=3.64 evals=3985919631
[n700m12E] t=140.1 iter=115811 acc=71554 impr=78 cur=13419 best=13419 T=3.30 evals=4136558792
[n700m12E] t=145.1 iter=120450 acc=74323 impr=78 cur=13419 best=13419 T=2.98 evals=4300293198
[n700m12E] ILS done iter=124694 best=13419 (831.5 it/s)
FINAL n700m12E cost 13419 time 150.0
