instance n700m12E n=700 m=12 start cost 50658 (greedy) mode=ils
[n700m12E] t=5.0 iter=2784 acc=1861 impr=59 cur=14479 best=14312 T=41.23 evals=99898515
[n700m12E] t=10.0 iter=5729 acc=3810 impr=64 cur=14164 best=14154 T=37.31 evals=203325529
[n700m12E] t=15.0 iter=10341 acc=6839 impr=64 cur=14179 best=14154 T=33.77 evals=366567860
[n700m12E] t=20.0 iter=14949 acc=9774 impr=64 cur=14268 best=14154 T=30.56 evals=529686646
[n700m12E] t=25.0 iter=18694 acc=12156 impr=66 cur=14139 best=14055 T=27.65 evals=662565918
[n700m12E] t=30.0 iter=22033 acc=14277 impr=76 cur=14094 best=13945 T=25.02 evals=781415406
[n700m12E] t=35.0 iter=24854 acc=16070 impr=76 cur=14351 best=13945 T=22.64 evals=883327384
[n700m12E] t=40.0 iter=27633 acc=17788 impr=91 cur=13635 best=13563 T=20.49 evals=984002280
[n700m12E] t=45.0 iter=30470 acc=19559 impr=97 cur=13532 best=13532 T=18.54 evals=1085241474
[n700m12E] t=50.0 iter=33327 acc=21328 impr=103 cur=13485 best=13425 T=16.78 evals=1187369765
[n700m12E] t=55.0 iter=36146 acc=23048 impr=103 cur=13487 best=13425 T=15.18 evals=1288109449
[n700m12E] t=60.0 iter=38860 acc=24729 impr=104 cur=13446 best=13419 T=13.74 evals=1384667752
[n700m12E] t=65.0 iter=41600 acc=26441 impr=104 cur=13437 best=13419 T=12.43 evals=1482187680
[n700m12E] t=70.0 iter=45129 acc=28587 impr=104 cur=13445 best=13419 T=11.25 evals=1608329528
[n700m12E] t=75.0 iter=50125 acc=31662 impr=104 cur=13437 best=13419 T=10.18 evals=1785378977
[n700m12E] t=80.0 iter=55150 acc=34692 impr=104 cur=13427 best=13419 T=9.21 evals=1963707080
[n700m12E] t=85.0 iter=59804 acc=37503 impr=104 cur=13428 best=13419 T=8.34 evals=2129965324
[n700m12E] t=90.0 iter=64557 acc=40362 impr=104 cur=13427 best=13419 T=7.55 evals=2299165679
[n700m12E] t=95.0 iter=69378 acc=43271 impr=106 cur=13361 best=13335 T=6.83 evals=2470880341
[n700m12E] t=100.1 iter=74100 acc=46120 impr=106 cur=13352 best=13335 T=6.18 evals=2639039291
[n700m12E] t=105.1 iter=78435 acc=48719 impr=106 cur=13344 best=13335 T=5.59 evals=2795591599
[n700m12E] t=110.1 iter=82041 acc=50883 impr=106 cur=13335 best=13335 T=5.06 evals=2924559106
[n700m12E] t=115.1 iter=86234 acc=53393 impr=106 cur=13353 best=13335 T=4.58 evals=3073906790
[n700m12E] t=120.1 iter=91105 acc=56321 impr=106 cur=13343 best=13335 T=4.14 evals=3248157937
[n700m12E] t=125.1 iter=96111 acc=59326 impr=106 cur=13335 best=13335 T=3.75 evals=3428222688
[n700m12E] t=130.1 iter=99362 acc=61242 impr=106 cur=13335 best=13335 T=3.39 evals=3545752623
[n700m12E] t=135.1 iter=101672 acc=62627 impr=106 cur=13335 best=13335 T=3.07 evals=3628214228
[n700m12E] t=140.1 iter=103974 acc=64003 impr=106 cur=13335 best=13335 T=2.78 evals=3711186424
[n700m12E] t=145.1 iter=106296 acc=65408 impr=106 cur=13335 best=13335 T=2.51 evals=3793999266
[n700m12E] ILS done iter=109115 best=13335 (727.6 it/s)
FINAL n700m12E cost 13335 time 150.0
